edition_id,subedition_id,circ,floor_usd
5f422f6c-fd11-4338-91e0-b9bbcb878583+f380827e-d668-4e4e-a030-4d5687cdf039,0,21,595
5f422f6c-fd11-4338-91e0-b9bbcb878583+f8573ea4-bab2-468f-8d13-11724921fe17,0,20,899
67f35c2f-3e26-459c-9227-a999d1121b1a+196a8a3e-a107-4592-b54e-35e6aeba893d,0,10,722
67f35c2f-3e26-459c-9227-a999d1121b1a+3ed934ce-273b-4f74-9f2e-de0a38508b0f,0,10,900
67f35c2f-3e26-459c-9227-a999d1121b1a+4136b021-4ca2-48a1-bd8d-f1bca79bcbda,0,10,999
67f35c2f-3e26-459c-9227-a999d1121b1a+5f830999-f40c-40cf-91ee-cf7fe5e3946c,0,10,850
67f35c2f-3e26-459c-9227-a999d1121b1a+678c9c81-dbea-485d-85f8-5ebbe1a567f8,0,10,2333
67f35c2f-3e26-459c-9227-a999d1121b1a+814950b5-9616-4de9-92fc-b68c9a245140,0,10,649
67f35c2f-3e26-459c-9227-a999d1121b1a+969529a5-402b-47e8-8899-5ca84342af89,0,10,999
67f35c2f-3e26-459c-9227-a999d1121b1a+a7a47f1d-bd13-4022-b6b2-72f159abe61e,0,10,1888
67f35c2f-3e26-459c-9227-a999d1121b1a+aa60f80e-7b41-489a-967f-95492c05a286,0,10,1000
67f35c2f-3e26-459c-9227-a999d1121b1a+beb69e4a-3f73-46ff-817c-74028bca8582,0,10,1264
67f35c2f-3e26-459c-9227-a999d1121b1a+d33b61a3-62ba-456e-940b-ea74c0fda120,0,10,1200
6d9f3306-7ced-41d7-bb87-3d2a12a0e97a+03b38ad4-e7a5-41e9-9fd4-39e4e639e59a,0,79,1055
6d9f3306-7ced-41d7-bb87-3d2a12a0e97a+14b537fd-991f-4444-b878-5dd224999b85,0,32,2100
6eb21421-c204-45ab-8512-8f52e112e39c+376413e9-4af4-4c6c-b108-e9eb1f86f92b,0,6168,0.79
6eb21421-c204-45ab-8512-8f52e112e39c+376413e9-4af4-4c6c-b108-e9eb1f86f92b,1,490,1
708a6f60-5c93-406e-854f-50dd6734c0dd+2a7e80bd-31fd-4a47-b54e-3569658f49c5,0,88,99
708a6f60-5c93-406e-854f-50dd6734c0dd+3c2e5691-4f54-4521-ac2c-b2a0be453390,0,60,340
708a6f60-5c93-406e-854f-50dd6734c0dd+5cfbda96-45d2-4df0-9f44-b6d54a578f51,0,43,495
708a6f60-5c93-406e-854f-50dd6734c0dd+657cd3d0-fd37-4cb0-b65d-f9798276f731,0,91,114
708a6f60-5c93-406e-854f-50dd6734c0dd+721c6e4c-ba7b-402e-bf1d-f5f7a26bc4b9,0,27,950
708a6f60-5c93-406e-854f-50dd6734c0dd+9bde7d15-1281-4cbe-a061-b394563906b2,0,46,689
708a6f60-5c93-406e-854f-50dd6734c0dd+b46188fd-3e95-4567-bce0-114c80936783,0,94,119
708a6f60-5c93-406e-854f-50dd6734c0dd+fb962b40-31bf-457a-b26d-7e23dcd7914b,0,53,969
708a6f60-5c93-406e-854f-50dd6734c0dd+ff51b06a-a677-49f4-98df-9848851ede84,0,57,243
733bdf78-8ce0-4992-aa78-bd08c2746907+339724a7-4314-4300-86b2-c9a08ae60b25,0,41,2750
733bdf78-8ce0-4992-aa78-bd08c2746907+5d065044-8c6a-4971-b15c-e1c3461fdbfa,0,68,224
733bdf78-8ce0-4992-aa78-bd08c2746907+b4eff71a-aa4e-4446-a62f-bb0cdfdc822c,0,75,899
7b797690-5b53-45a7-b972-bd2d5152654a+48fa13c5-c9fb-4846-b260-3c3b4b503039,0,1343,1
7b797690-5b53-45a7-b972-bd2d5152654a+768166e3-f4bb-4395-9b48-4c545aebc95c,0,946,152
7b797690-5b53-45a7-b972-bd2d5152654a+de32d3fb-0e6a-447e-b42a-08bbf1607b7d,0,982,70
7b797690-5b53-45a7-b972-bd2d5152654a+f552b506-b41d-4e7c-ac5a-59427f9e96e6,0,961,35
814c5183-596f-41d7-9135-c6b29faa9c6d+092685e0-8636-459d-a9d0-9a6c2ce150e6,0,50,2300
814c5183-596f-41d7-9135-c6b29faa9c6d+46b46192-21f7-4b69-bf9c-b70eec06f83d,0,50,899
814c5183-596f-41d7-9135-c6b29faa9c6d+99bd66dc-3ea3-4333-8fb3-b46c24b688e1,0,25,1925
814c5183-596f-41d7-9135-c6b29faa9c6d+9c0cd57c-8203-4ec1-9a0c-9b7e7a6f0635,0,50,299
814c5183-596f-41d7-9135-c6b29faa9c6d+a84fd0fe-1177-4f79-8497-e9d955d272c4,0,25,988
814c5183-596f-41d7-9135-c6b29faa9c6d+de32d3fb-0e6a-447e-b42a-08bbf1607b7d,0,6,19999
814c5183-596f-41d7-9135-c6b29faa9c6d+e2c09c0f-e04b-45db-9f5f-7cd0e6c5ed2b,0,50,2718
814c5183-596f-41d7-9135-c6b29faa9c6d+e48cf01d-0343-48fd-a4ae-c789633cba11,0,25,2999
814c5183-596f-41d7-9135-c6b29faa9c6d+f2a3c763-f7ff-4342-a209-44a34cdf1d02,0,25,1475
814c5183-596f-41d7-9135-c6b29faa9c6d+f552b506-b41d-4e7c-ac5a-59427f9e96e6,0,50,4799
891987bc-a5c0-404e-8486-1735a330a81a+0da105c4-fe24-4994-b79b-5984ccb2d393,17,92,55
891987bc-a5c0-404e-8486-1735a330a81a+0da105c4-fe24-4994-b79b-5984ccb2d393,18,50,188
891987bc-a5c0-404e-8486-1735a330a81a+0da105c4-fe24-4994-b79b-5984ccb2d393,0,914,29
891987bc-a5c0-404e-8486-1735a330a81a+2fcdc853-b04c-4d74-89e4-060c6fc724fe,17,87,288
891987bc-a5c0-404e-8486-1735a330a81a+2fcdc853-b04c-4d74-89e4-060c6fc724fe,18,50,900
891987bc-a5c0-404e-8486-1735a330a81a+2fcdc853-b04c-4d74-89e4-060c6fc724fe,0,908,148
891987bc-a5c0-404e-8486-1735a330a81a+54fbd87c-751e-4745-901f-53d2e76aa556,17,90,12
891987bc-a5c0-404e-8486-1735a330a81a+54fbd87c-751e-4745-901f-53d2e76aa556,18,49,40
891987bc-a5c0-404e-8486-1735a330a81a+54fbd87c-751e-4745-901f-53d2e76aa556,0,893,4
891987bc-a5c0-404e-8486-1735a330a81a+6948bdac-76f9-486e-a9fa-c8c1ec5e1108,17,90,80
891987bc-a5c0-404e-8486-1735a330a81a+6948bdac-76f9-486e-a9fa-c8c1ec5e1108,18,49,175
891987bc-a5c0-404e-8486-1735a330a81a+6948bdac-76f9-486e-a9fa-c8c1ec5e1108,0,902,16
